text,relevance_x,count,relevance_y,dbpedia_resource
flat fee,0.501036,1.0,,
recipient's information,0.50082,1.0,,
online customer support,0.500766,1.0,,
limited number of countries of origin,0.500005,1.0,,
enormous network of cash pickup locations,0.499842,1.0,,
current-day exchange rates,0.498677,1.0,,
net banking,0.498439,1.0,,
overall exchange rates,0.498381,1.0,,
small number of origin countries,0.498328,1.0,,
optimum choice,0.497962,1.0,,
numerous payment channels,0.497923,1.0,,
low exchange rates,0.496607,1.0,,
transfer surcharge,0.496542,1.0,,
cash pickup services,0.495875,1.0,,
non-transparent margins,0.495621,1.0,,
cheapest money transfer option,0.495228,1.0,,
covert markup,0.494939,1.0,,
very long history of service,0.494463,1.0,,
settlement of an international money transfer,0.494419,1.0,,
pay-in options,0.49441,1.0,,
foreign transactions,0.494404,1.0,,
guaranteed rates,0.494249,1.0,,
best money transfer app,0.49423,1.0,,
international money transfer,0.494034,2.0,,
premium features,0.493685,1.0,,
State Bank of India,0.493571,1.0,0.990771,http://dbpedia.org/resource/State_Bank_of_India
cheapest rates,0.493547,1.0,,
mobile wallets,0.493485,1.0,,
excellent customer service,0.493285,1.0,,
reputable organisation,0.493201,1.0,,
agent locations,0.493168,1.0,,
bank account number,0.492827,1.0,,
vast service history,0.492071,1.0,,
terrible customer service,0.49126,1.0,,
exchange rate margin,0.491205,1.0,,
COVID-19 times,0.490616,1.0,,
money transfer app,0.490441,1.0,,
world’s third-largest money transfer service,0.49043,1.0,,
Highroller Premium,0.490111,1.0,,
cash pick-ups,0.490072,1.0,,
total amount,0.490048,1.0,,
origin country,0.489847,1.0,,
details of your transaction,0.48982,1.0,,
currency options,0.489639,1.0,,
conversion fees,0.489356,1.0,,
different currency,0.488541,1.0,,
international transfers,0.488446,1.0,,
additional expenses,0.488078,1.0,,
Play Store,0.486682,1.0,,
destination countries,0.48521,1.0,,
cause,0.484022,1.0,,
California,0.483989,1.0,,
world’s largest foreign money transfer service,0.483362,1.0,,
cryptocurrencies,0.48207,1.0,,
2-3 days,0.481841,1.0,,
Remit,0.48179,1.0,,
ecoPayz,0.481649,1.0,,
NBFCs,0.481511,1.0,,
USA,0.481238,1.0,,
features,0.481085,1.0,,
Revolut,0.481072,1.0,,
UK,0.481009,1.0,,
cashback,0.480921,1.0,,
years,0.479733,1.0,,
month,0.479733,1.0,,
Credit card,,,0.994179,http://dbpedia.org/resource/Credit_card
Currency,,,0.988746,http://dbpedia.org/resource/Currency
Exchange rate,,,0.982991,http://dbpedia.org/resource/Exchange_rate
Country,,,0.968883,http://dbpedia.org/resource/Country
Customer,,,0.952069,http://dbpedia.org/resource/Customer
ICICI Bank,,,0.939852,http://dbpedia.org/resource/ICICI_Bank
Bank account,,,0.934052,http://dbpedia.org/resource/Bank_account
Fee,,,0.917278,http://dbpedia.org/resource/Fee
Debit card,,,0.903456,http://dbpedia.org/resource/Debit_card
Wire transfer,,,0.847237,http://dbpedia.org/resource/Wire_transfer
United Kingdom,,,0.743619,http://dbpedia.org/resource/United_Kingdom
Google Play,,,0.677935,http://dbpedia.org/resource/Google_Play
Money transmitter,,,0.676449,http://dbpedia.org/resource/Money_transmitter
Customer service,,,0.623435,http://dbpedia.org/resource/Customer_service
Payment,,,0.61856,http://dbpedia.org/resource/Payment
Bank,,,0.61293,http://dbpedia.org/resource/Bank
United States,,,0.611861,http://dbpedia.org/resource/United_States
Cash,,,0.585042,http://dbpedia.org/resource/Cash
Globalization,,,0.534038,http://dbpedia.org/resource/Globalization
Demand deposit,,,0.533347,http://dbpedia.org/resource/Demand_deposit
Online banking,,,0.523977,http://dbpedia.org/resource/Online_banking
Central bank,,,0.517286,http://dbpedia.org/resource/Central_bank
Expense,,,0.490126,http://dbpedia.org/resource/Expense
App store,,,0.478626,http://dbpedia.org/resource/App_store
Finance,,,0.469083,http://dbpedia.org/resource/Finance
United States dollar,,,0.386926,http://dbpedia.org/resource/United_States_dollar
Deposit account,,,0.383059,http://dbpedia.org/resource/Deposit_account
Foreign exchange market,,,0.369622,http://dbpedia.org/resource/Foreign_exchange_market
Latin,,,0.36354,http://dbpedia.org/resource/Latin
History,,,0.361174,http://dbpedia.org/resource/History
Euro,,,0.347936,http://dbpedia.org/resource/Euro
Money,,,0.345492,http://dbpedia.org/resource/Money
Cost,,,0.343238,http://dbpedia.org/resource/Cost
Flat rate,,,0.323959,http://dbpedia.org/resource/Flat_rate
Interest rate,,,0.322043,http://dbpedia.org/resource/Interest_rate
Bank of India,,,0.319502,http://dbpedia.org/resource/Bank_of_India
Financial services,,,0.307814,http://dbpedia.org/resource/Financial_services
Knowledge,,,0.306891,http://dbpedia.org/resource/Knowledge
MoneyGram,,,0.306782,http://dbpedia.org/resource/MoneyGram
Economics,,,0.302859,http://dbpedia.org/resource/Economics
Debits and credits,,,0.296585,http://dbpedia.org/resource/Debits_and_credits
Financial transaction,,,0.291178,http://dbpedia.org/resource/Financial_transaction
Availability,,,0.29035,http://dbpedia.org/resource/Availability
Customer support,,,0.285644,http://dbpedia.org/resource/Customer_support
